asset_number,title_of_plaque,description_of_plaque,tree_common_name,tree_scientific_name,date_of_tree_planted,lon,lat,location
1498988,No. 11 REPAIR & SERVICING UNIT,"DEDICATED TO ALL PAST & PRESENT MEMBERS OF No. 11 REPAIR & SERVICING UNIT WHO KEPT THEM FLYING THROUGHOUT THE YEARS BETWEEN 1943 - 1945 IN NADZAB, LAE NOEMFOR, MOROTAI & TARAKAN LEST WE FORGET",Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83118825023703,144.9731425816418,"-37.83118825023703, 144.9731425816418"
1499040,ROYAL AUSTRALIAN CORPS OF TRANSPORT,ROYAL AUSTRALIAN CORPS OF TRANSPORT FORMED 1 JUNE 1973 FROM RAE(TN) & RAASC,River Red Gum,Eucalyptus camaldulensis,1998-07-09,-37.831473685884944,144.97217114744524,"-37.831473685884944, 144.97217114744524"
1499108,22ND BATTALION,22ND BATTALION,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82830743544784,144.9725285827813,"-37.82830743544784, 144.9725285827813"
1498904,1ST ORDNANCE FIELD PARK,IST ORDANCE FIELD PARK,Pyramid Tree,Lagunaria patersonia,2000-01-02,-37.82945767669513,144.97184208754828,"-37.82945767669513, 144.97184208754828"
1734463,NORMANDY VETERANS ASSOCIATION,"NVA In memory of all Australians and Allied Veterans who served in 'Operation Overlord' D. Day Landings, 6th June to 25th August 1944 In Normandy, France For your tomorrow, we gave our today",Atlas Cedar,Cedrus atlantica,2017-11-03,-37.83032609027336,144.9721426909941,"-37.83032609027336, 144.9721426909941"
1498982,NAVAL ASSOCIATION OF AUSTRALIA,1939 1945 NAVAL ASSOCIATION OF AUSTRALIA,Daimyo Oak,Quercus dentata,1998-04-09,-37.83102768154598,144.9745995026191,"-37.83102768154598, 144.9745995026191"
1498960,UNITED STATES NAVY DESRON 4,UNITED STATES NAVY DESRON 4 WHICH OPERATED WITH AUSTRALIAN NAVAL SQUADRONS IN WORLD WAR 2 U.S.S. SELFRIDGE FLAG DESDIV-7 U.S.S. HENLEY U.S.S. HELM U.S.S. BLUE U.S.S. BAGLEY DESDIV-8 U.S.S. MUGFORD U.S.S. RALPH TALBOT U.S.S. PATTERSON U.S.S. JARVIS LE WE FORGET,Oak,Quercus unknown,1998-04-09,-37.83160486641263,144.9743994236861,"-37.83160486641263, 144.9743994236861"
1499021,Australian Army Training Team Vietnam,"Australian Army Training Team Vietnam The Team served in South Vietnam from 1962 to 1972 were its members trained advised and led in action a variety of allied forces and government agencies. AATTV was the most highly decorated Australian unit of the Vietnam War, with four of its members awarded the Victoria Cross. 'Persevere'",Golden Poplar,Populus x canadensis,1998-07-09,-37.83124298440094,144.97247458302422,"-37.83124298440094, 144.97247458302422"
1499165,SIEGE OF TOBRUK,"TOBRUK FIG TREE  AUSTRALIAN AND ALLIED FORCES WHO FOUGHT IN THE SIEGE OF TOBRUK BECAME KNOWN AS ""THE RATS OF TOBURK"" WHEN GERMAN BROADCASTERS LIKENED THEM TO RATS COMING OUT OF THEIR SHELTER. THE SIEGE WAS THE FIRST DEFEAT OF GERMAN LAND FORCES IN WW",tba,Ficus carica,2012-10-04,-37.82850285713582,144.9720342269703,"-37.82850285713582, 144.9720342269703"
1498914,15TH FIELD AMBULANCE,15TH FIELD AMBULANCE,English Elm,Ulmus procera,1998-07-09,-37.8291370529477,144.9723765764324,"-37.8291370529477, 144.9723765764324"
1499139,135 AUSTRALIAN GENERAL TRANSPORT COMPANY,IN RECOGNITION OF THEIR LOYAL SERVICE TO OUR COUNTRY THIS PLAQUE IS DEDICATED TO THE MEMBERS OF 135 AUSTRALIAN GENERAL TRANSPORT COMPANY WHO SERVED DURING WWII IN DARWIN AND S.W. PACIFIC  LEST WE FORGET,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.8288988696379,144.97244967658702,"-37.8288988696379, 144.97244967658702"
1498975,H.M.A.S. TINGIRA,H.M.A.S. TINGIRA,Lilly-Pilly,Syzygium floribundum,2000-01-02,-37.83113683924828,144.97493101722557,"-37.83113683924828, 144.97493101722557"
1499120,14TH FIELD COMPANY ENGINEERS,14TH FIELD COMPANY ENGINEERS,English Elm,Ulmus procera,1998-07-09,-37.82782959457114,144.97247406106885,"-37.82782959457114, 144.97247406106885"
1499136,CANADA,RED MAPLE REPRESENTING CANADA 1.7.1954,Red Maple / Swamp Maple,Acer rubrum,2010-10-20,-37.827959648206715,144.97285168257503,"-37.827959648206715, 144.97285168257503"
1499094,8TH FIELD COMPANY ENGINEERS,8TH FIELD COMPANY ENGINEERS,Flame Tree,Brachychiton acerifolius,2010-08-30,-37.828951219087834,144.9737001944386,"-37.828951219087834, 144.9737001944386"
1499103,14TH AUSTRALIAN GENERAL HOSPITAL.,14TH AUSTRALIAN GENERAL HOSPITAL.,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.828772431662756,144.9728786341015,"-37.828772431662756, 144.9728786341015"
1499039,ROYAL AUSTRALIA ARMY SERVICE CORPS (RAASC),"ROYAL AUSTRALIA ARMY SERVICE CORPS (RAASC) ESTABLISHED IN 1873 AND DISBANDED IN 1973, TO FROM THE ROYAL AUSTRALIAN CORPS AUSTRALIAN CORPS OF TRANSPORT (RACT). AUSTRALIAN ARMY SERVICE CORPS (AASC) AND RAASC MEMBERS GAVE SERVICE TO AUSTRALIA IN ALL THE",Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,-37.831342688697845,144.972214956105,"-37.831342688697845, 144.972214956105"
1499030,4TH ANTI-TANK REGIMENT MALAYA,4TH ANTI-TANK REGIMENT MALAYA,Turkey Oak,Quercus cerris,1998-07-09,-37.83090144159808,144.9723805385307,"-37.83090144159808, 144.9723805385307"
1498943,H.M.A.S. SHROPSHIRE,H.M.A.S. SHROPSHIRE,Algerian Oak,Quercus canariensis,1998-03-09,-37.83183782873909,144.97483470040402,"-37.83183782873909, 144.97483470040402"
1499123,55TH BATTERY.,55TH BATTERY.,English Elm,Ulmus procera,1998-07-09,-37.82828698093195,144.97268570613167,"-37.82828698093195, 144.97268570613167"
1498938,"H.M.A.S. ""ASSAULT""","THIS HAWTHORNE CRATAEGUS WAS DEDICATED TO H.M.A.S. ""ASSAULT"" 1942 - 1945 WHICH WAS A NAVAL BASE AT NELSON BAY N.S.W. FOR TRAINING BOATS' CREWS, BEACH PARTIES AND COMMANDOS TO MAN ASSAULT LANDING CRAFT ON L.S.I.'S ENGAGED IN PACIFIC CAMPAIGNS. LEST WE FORGET",Midland Hawthorn,Crataegus laevigata,1998-02-09,-37.83225825619569,144.9746792438686,"-37.83225825619569, 144.9746792438686"
1499184,SESQUICENTENARY CELEBRATION OF THE STATE OF VICT,"THIS MEMORIAL WAS UNVEILED BY NANCY WAKE George Medal; Croix de Guerre with 2 Palms and Bar; Médaille de la Résistance; Chevalier de la Légion d'Honneur, ON 16 NOVEMBER 1985 AS PART OF THE SESQUICENTENARY CELEBRATION OF THE STATE OF VICTORIA.",,,,-37.828686695420366,144.97319592706003,"-37.828686695420366, 144.97319592706003"
1734477,COMMANDO AND SPECIAL FORCES SUPPORT UNITS,"FOR ALL COMMANDO AND SPECIAL FORCES SUPPORT UNITS ""COMMANDO FOR LIFE"" ""LEST WE FORGET""",Atlas Cedar,Cedrus atlantica,2010-08-30,-37.830399606285816,144.97207875540332,"-37.830399606285816, 144.97207875540332"
1499131,INFANTRY 57TH BATTALION,INFANTRY 57TH BATTALION 1916-1918 · FROMELLES · SOMME · BULLECOURT · YPRES · POLYGON WOOD · AVRE · VILLERS BRETONNEUX · AMIENS · MONT ST QUETIN · HINDENBURG LINE ·  GOLDEN POPLAR  DEDICATED 24 APRIL 2005  LEST WE FORGET,Spotted Gum,Corymbia maculata,2012-09-06,-37.82830993024372,144.97322827839452,"-37.82830993024372, 144.97322827839452"
1498995,2/4TH LIGHT ANTI-AIRCRAFT REGIMENT 9TH DIVISION A.I.F.,2/4TH LIGHT ANTI-AIRCRAFT REGIMENT 9TH DIVISION A.I.F. THIS TREE IS DEDICATED TO THE MEMORY OF ALL THOSE WHO SERVED WITH THE REGIEMENT IN THE DEFENCE OF THEIR COUNTRY IN THE MIDDLE EAST AND NEW GUINEA DURING WORLD WAR II 1939-1945 LEST WE FORGET,London Plane,Platanus acerifolia,1998-07-09,-37.83192975550061,144.97321170883876,"-37.83192975550061, 144.97321170883876"
1499003,THE AUSTRALIAN LEGION OF EX-SERVICEMEN AND WOMEN,"1944 1994 FOR ALL WHO SERVE THIS SPOTTED GUM WAS DEDICATED BY HIS EXCELLENCY, THE GOVERNOR OF VICTORIA ON 16TH MAY 1994 TO COMMEMORATE THE AUSTRALIAN LEGION OF EX-SERVICEMEN AND WOMEN'S FIFTIETH YEAR LEST WE FORGET",Spotted Gum,Corymbia maculata,1998-07-09,-37.83213732411669,144.9728731147446,"-37.83213732411669, 144.9728731147446"
1499042,ROYAL AUSTRALIAN ENGINEERS (TRANSPORTATION SERVICE),ROYAL AUSTRALIAN ENGINEERS (TRANSPORTATION SERVICE) 1942 - 1973 FORMED INTO ROYAL AUSTRALIAN CORPS OF TRANSPORT 1 JUNE 1973,River Red Gum,Eucalyptus camaldulensis,1998-07-09,-37.83139408914615,144.97204947974228,"-37.83139408914615, 144.97204947974228"
1499163,2/33 BATTALION,DEDICATED TO THOSE WHO SERVED N THE 2/33 BATTALION MIDDLE EAST AND PACIFIC IN WORLD WAR TWO  LEST WE FORGET,UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.82857184574517,144.97173886572406,"-37.82857184574517, 144.97173886572406"
1499155,22ND AUSTRALIAN INFANTRY BATTALION,22ND AUSTRALIAN INFANTRY BATTALION 1939-1945,English Elm,Ulmus procera,1998-07-09,-37.82875539181881,144.97236009726893,"-37.82875539181881, 144.97236009726893"
1499004,2/25TH AUSTRALIAN INFANTRY BATTALION 25 Brigade - 7 Division,"2/25TH AUSTRALIAN INFANTRY BATTALION 25 Brigade - 7 Division AIF In proud remembrance of the Officers, NCOs and Men who dies whilst on active service in the Middle East, New Guinea & Borneo during World War II 1939 - 1945 Lest We Forget",Chinese Elm,Ulmus parvifolia,2010-08-30,-37.83232961609321,144.97328030157766,"-37.83232961609321, 144.97328030157766"
1499024,TOTALLY AND PERMANENTLY INCAPACITATED EX-SERVICEMEN AND WOMEN OF VICTORIA,TOTALLY AND PERMANENTLY INCAPACITATED EX-SERVICEMEN AND WOMEN OF VICTORIA,Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83043897249816,144.97260112366627,"-37.83043897249816, 144.97260112366627"
1499077,INDIA,INDIAN CEDAR REPRESENTING INDIA 2.10.1954,Deodar,Cedrus deodara,1998-07-09,-37.829183483851835,144.97374917209865,"-37.829183483851835, 144.97374917209865"
1499006,No 2 AIRFIELD CONSTRUCTION SQUADRON,No 2 AIRFIELD CONSTRUCTION SQUADRON PORT MORESBY LAE NADZAB P N G 1942 MORTOAI TARAKAN BALIKPAPAN BORNEO 1945 MALAYA 1955 - 1958 LEST WE FORGET,River Sheoak,Casuarina cunninghamiana,1998-07-09,-37.83242149789316,144.97315246113516,"-37.83242149789316, 144.97315246113516"
1499174,PRISONERS OF WAR,"PRISONERS OF WAR ALL THEATRES  ""LEST WE FORGET""",Algerian Oak,Quercus canariensis,1998-07-09,-37.82926151143797,144.9716863489285,"-37.82926151143797, 144.9716863489285"
1499126,1ST ROYAL AUSTRALIAN NAVAL BRIDGING TRAIN,1ST ROYAL AUSTRALIAN NAVAL BRIDGING TRAIN,Spotted Gum,Corymbia maculata,1998-07-09,-37.82796510980705,144.97267690538854,"-37.82796510980705, 144.97267690538854"
1499172,2/22ND BATTALION - LARK FORCE,"2/22ND BATTALION - LARK FORCE  IN HONOURED MEMORY OF THOSE WHO LOST THEIR LIVES IN 1942 IN THE DEFENCE OF RABUL, AT TOL PLANTATION AND LATER AS PRISONERS OF WAR UPON THE SINKING OF THE UNMARKED JAPANESE PRISON SHIP, THE MONTEVIDEO MARU ON THE 1ST JUL 1942.",Spotted Gum,Corymbia maculata,1998-07-09,-37.82893297319674,144.97223741460692,"-37.82893297319674, 144.97223741460692"
1734446,SOUTH AFRICA,HARPEPHYLLUM-CAFFRA REPRESENTING UNION OF SOUTH AFRICA 1954,Kaffir Plum,Harpephyllum caffrum,2012-10-24,-37.82818998569766,144.97293002280037,"-37.82818998569766, 144.97293002280037"
1499064,"1, 8, 21, 453 & H.Q. SQUADRONS","1940 1945 SEMBAWANG SINGAPORE 1, 8, 21, 453 & H.Q. SQUADRONS",Brush Box,Lophostemon confertus,1998-02-09,-37.82997566384628,144.9741184631029,"-37.82997566384628, 144.9741184631029"
1498905,58TH/59TH BATTALION,SOUTHWEST PACIFIC 1943 - 45 LIBERATION OF AUSTRALIAN NEW GUINEA 58TH/59TH BATTALION BOBDUBI II KOMIATUM SALAMAUA FINISTERRES II BARUM HONGORAI RIVER HARI RIVER OGORATA RIVER MOBIAI RIVER MIVO RIVER IN MEMORY OF THE FALLEN LEST WE FORGET,English Elm,Ulmus procera,1998-07-09,-37.82954925726285,144.97172823378216,"-37.82954925726285, 144.97172823378216"
1499059,The Royal Air Force,DEDICATED TO THE MEMORY OF THE MEN AND WOMEN WHO SERVED IN The Royal Air Force THE ROYAL AIR FORCES ASSOCIATION MELBOURNE BRANCE 15TH SEPTEMBER 2004 LEST WE FORGET,Willow Leaf Peppermint,Eucalyptus nicholii,1998-02-09,-37.830062567393824,144.9742092537742,"-37.830062567393824, 144.9742092537742"
1499063,BEAUFORT SQUADRONS,ERECTED IN MEMORY OF FALLEN COMRADES ROYAL AUSTRALIAN AIR FORCE WHO SERVED IN BEAUFORT SQUADRONS 1 2 6 7 8 13 14 15 32 100 AND SUPPORT UNITS IN THE SOUTH WEST PACIFIC AREA WORLD WAR II,Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.82993784987579,144.9738901006619,"-37.82993784987579, 144.9738901006619"
1499162,MIDDLE EAST VOLUNTARY AID DETACHMENT,MIDDLE EAST VOLUNTARY AID DETACHMENT,Pyramid Tree,Lagunaria patersonia,2000-01-02,-37.82835598396791,144.97203529425366,"-37.82835598396791, 144.97203529425366"
1498897,4TH AUSTRALIA FIELD REGIMENT,"4TH AUSTRALIA FIELD REGIMENT (1939-1945) THIS TREE DEDICATED TO THE HONOUR OF ALL MEN WHO SERVED THE REGIMENT IN NEW GUINEA, BOUGAINVILLE AND OTHER AREAS. IN PARTICULAR IT RECOGNISES THOSE WHO MADE THE SUPREME SACRIFICE LEST WE FORGET",Yellow Gum,Eucalyptus leucoxylon,2010-08-30,-37.82986090544607,144.9720590787933,"-37.82986090544607, 144.9720590787933"
1499144,THIRTYNINERS' ASSOCIATION OF AUSTRALIA,THIS TREE IS DEDICATED TO THE THIRTYNINERS' ASSOCIATION OF AUSTRALIA  VICTORIAN BRANCH  NAVY - ARMY - AIR FORCE  RETURNED VOLUNTEER EX-SERVICEMEN. FOR THOSE WHOE SERVED IN ALL THEATRES OF WAR. 1939 - 1945.,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82794978271682,144.97215321466152,"-37.82794978271682, 144.97215321466152"
1498912,57/60TH INFANTRY BATTALION,57/60TH INFANTRY BATTALION SOUTH WEST PACIFIC 1943 - 1945 LIBERATION OF AUSTRALIAN NEW GUINEA BOGADJIM FINISTERRES HONGORAI RIVER COMMANDO ROAD HARI RIVER OGORATA RIVER MOBIAI RIVER MIVO RIVER EUCALYPTUS MACULATA HARDNBOLD 1930 - 1946,Spotted Gum,Corymbia maculata,1998-07-09,-37.82957989603619,144.97231934669176,"-37.82957989603619, 144.97231934669176"
1499000,THE AUSTRALIAN FLYING CORPS,"No 5 SQUADRON TO COMMEMORATE THOSE WHO SERVED IN THE AUSTRALIAN FLYING CORPS UNITED KINGDOM 1917-1919 R.A.A.F. S.W. PACIFIC AREA 1936 - 1946 MALAYSIA 1964 - 1966 ""WE WILL REMEMBER THEM"" DEDICATED 21. 3. 1999",London Plane,Platanus acerifolia,1998-07-09,-37.832166711860516,144.97354893179607,"-37.832166711860516, 144.97354893179607"
1734470,DEFENSIVELY EQUIPPED MERCHANT SHIPS,DEFENSIVELY EQUIPPED MERCHANT SHIPS,Japanese Chestnut Oak,Quercus acutissima,2012-07-03,-37.831780533454804,144.97529166351458,"-37.831780533454804, 144.97529166351458"
1734456,2/29 BATTALION,2/29 BATTALION,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.8309489230909,144.97216017824692,"-37.8309489230909, 144.97216017824692"
1499051,Commando Squadrons,Symbol Only,Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,-37.83047445879829,144.9720662528518,"-37.83047445879829, 144.9720662528518"
1499028,2/2 AUSTRALIAN INFANTRY BATTALION,NULLI SECUNDUS IN MEMORY OF DEPARTED COMRADES WHO SERVED WITH THE 2/2 AUSTRALIAN INFANTRY BATTALION MIDDLE EAST - NEW GUINEA 1939 - 1945,Stone Pine,Pinus pinea,2010-08-30,-37.830362146694775,144.9723002031415,"-37.830362146694775, 144.9723002031415"
1498953,H.M.A.S. PARRAMATTA,H.M.A.S. PARRAMATTA 27 NOVEMBER 1941,Algerian Oak,Quercus canariensis,1998-03-09,-37.831726895729076,144.9745781081422,"-37.831726895729076, 144.9745781081422"
1499041,Royal Australian Corps of Transport (RACT),Royal Australian Corps of Transport (RACT) The RACT was formed on 1 June 1973 from RAASC and the Transportation Element of the Royal Australian Engineers. The RACT is serving Australia in all theatres of war and peacekeeping tasks.,River Red Gum,Eucalyptus camaldulensis,1998-07-09,-37.831473685884944,144.97217114744524,"-37.831473685884944, 144.97217114744524"
1499007,No. 460 SQUADRON (RAAF),No. 460 SQUADRON (RAAF) THIS EUCALYPTUS MACULATA TREE IS DEDICATED TO THE MEMORY OF ALL THOSE WHO SERVED ON THE SQUADRON DURING WORLD WAR 2 1939 - 1945 LEST WE FORGET,Spotted Gum,Corymbia maculata,1998-07-09,-37.83220816674622,144.97308830818562,"-37.83220816674622, 144.97308830818562"
1499150,2/8TH AUSTRALIAN FIELD REGIMENT,DEDICATED TO THE MEN OF THE 2/8TH AUSTRALIAN FIELD REGIMENT WHO FOUGHT FOR THEIR COUNTRY IN WWII SO THAT ALL THE GENERATIONS WHO FOLLOWED COULD LIVE THEIR LIVES IN PEACE AND FREEDOM  MIDDLE EAST BORNEO  1939 1945,English Elm,Ulmus procera,1998-07-09,-37.827953261167444,144.9720046234248,"-37.827953261167444, 144.9720046234248"
1499097,NURSING SERVICE & W.A.A.A.F  R.A.A.F.,NURSING SERVICE & W.A.A.A.F  R.A.A.F.,Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82881385726491,144.97374076430089,"-37.82881385726491, 144.97374076430089"
1734450,H.M.A.H.S. WANGANELLA,H.M.A.H.S. WANGANELLA,Holm Oak,Quercus ilex,2011-10-06,-37.8311522259104,144.97217574519863,"-37.8311522259104, 144.97217574519863"
1499116,ROYAL AUSTRALIAN ARTILLERY SIEGE BRIGADE.,ROYAL AUSTRALIAN ARTILLERY SIEGE BRIGADE.,English Elm,Ulmus procera,1998-07-09,-37.82722962235372,144.97219849378877,"-37.82722962235372, 144.97219849378877"
1498941,ROYAL AUSTRALIAN NAVAL LANDING PARTY,ROYAL AUSTRALIAN NAVAL LANDING PARTY GERMAN NEW GUINEA SEPTEMBER 11TH 1914,Cork Oak,Quercus suber,2012-07-03,-37.83123205663128,144.97447836090356,"-37.83123205663128, 144.97447836090356"
1499170,2/12 AUST. FIELD REGIMENT,2/12 AUST. FIELD REGIMENT,London Plane,Platanus acerifolia,1998-07-09,-37.828789407517824,144.9719020840633,"-37.828789407517824, 144.9719020840633"
1499090,6TH BATTALION,6TH BATTALION,Spotted Gum,Corymbia maculata,2000-01-01,-37.829048339091976,144.97352586123426,"-37.829048339091976, 144.97352586123426"
1499046,ROYAL AUSTRALIAN ARMY NURSING CORPS,ROYAL AUSTRALIAN ARMY NURSING CORPS 1939 - 45,Algerian Oak,Quercus canariensis,2012-08-03,-37.83125389683184,144.97218727765542,"-37.83125389683184, 144.97218727765542"
1498951,H.M.A. SHIPS KANIMBLA WESTRALIA MANOORA MORETON BAY ARAWA,H.M.A. SHIPS KANIMBLA WESTRALIA MANOORA MORETON BAY ARAWA,English Oak,Quercus robur,1998-04-09,-37.831631210723664,144.97472593338918,"-37.831631210723664, 144.97472593338918"
1499069,SYBIL HOWY IRVING,SYBIL HOWY IRVING M.B.E. 1897-1973 A MEMORIAL TO COMMEMORATE A LIFETIME OF DEDICATED SERVICE TO THE GIRL GUIDES ASSOCIATION VICTORIAN SOCIETY FOR CRIPPLED CHILDREN & ADULTS RED CROSS SOCIETY AUSTRALIAN WOMEN'S ARMY SERVICE WOMEN'S ROYAL AUSTRALIAN AR CORPS COUNCIL ON THE AGEING 1978,,,,-37.82817298081211,144.97386873140948,"-37.82817298081211, 144.97386873140948"
1499047,ROYAL AUSTRALIAN ARMY MEDICAL CORPS,ROYAL AUSTRALIAN ARMY MEDICAL CORPS 1939 - 45,Turkey Oak,Quercus cerris,2014-11-11,-37.83130874206335,144.97211192227965,"-37.83130874206335, 144.97211192227965"
1498957,H.M.A.S. BENALLA,H.M.A.S. BENALLA,Pin Oak,Quercus palustris,2000-01-02,-37.831842270438095,144.97441190534357,"-37.831842270438095, 144.97441190534357"
1499147,106TH TANK ATTACK REGIMENT A.I.F.,"106TH TANK ATTACK REGIMENT A.I.F.  DEDICATED IN MEMORY OF ALL TANK ATTACK GUNNERS AND THOSE OF THE REGIMENT WHO SERVED IN WWII 1939-45, WHO WERE LOST, OR RETURNED TO KEEP THEIR COUNTRY FREE.  PAX - VOBISCUM.  LEST WE FORGET.",Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82755203645585,144.9719667540487,"-37.82755203645585, 144.9719667540487"
1499096,WESTERN EUROPE R.A.A.F.,WESTERN EUROPE R.A.A.F.,Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82881385726491,144.97374076430089,"-37.82881385726491, 144.97374076430089"
1498984,HMAS WARRAMUNGA TRIBAL DESTROYER,"HMAS WARRAMUNGA TRIBAL DESTROYER AND THOSE WHO SERVED IN HER FROM 23/11/1942 THROUGH THE ACTIONS IN NEW GUINEA, DUTCH EAST INDIES, PHILIPPINES, BORNEO, JAPAN, KOREA AND MALAYA UNTIL 7/12/1959 LEST WE FORGET",Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83089381136321,144.9742040148821,"-37.83089381136321, 144.9742040148821"
1499091,PAKISTAN,GOLDEN CYPRESS REPRESENTING PAKISTAN 24.8.1954,Monterey Cypress,Hesperocyparis macrocarpa,2000-01-02,-37.82891804472874,144.97355294488102,"-37.82891804472874, 144.97355294488102"
1499012,CENTRAL BUREAU AND ITS FIELD UNITS,THIS CASUARINA IS DEDICATED TO THE MEMORY OF ALL THOSE WHO SERVED IN ENTRAL BUREAU AND ITS FIELD UNITS - AUSTRALIAN SPECIAL WIRELESS GROUP (AIF); RAAF WIRELESS UNITS RAN AND ALLIED FORCES - WHO WERE INVOLVED IN SIGNALS INTELLIGENCE OPERATIONS AGAINST JAPAN DURING THE WAR IN THE PACFIC 1942 - 1945 LEST WE FORGET,River Sheoak,Casuarina cunninghamiana,1998-07-09,-37.83268169680647,144.97331122974452,"-37.83268169680647, 144.97331122974452"
1499001,RAAF CATALINA SQUADRONS AND ASSOCIATED FLYING BOAT UNITS,THIS SPOTTED GUM IS DEDICATED TO RAAF CATALINA SQUADRONS AND ASSOCIATED FLYING BOAT UNITS AND THE MEMORY OF THE MEN AND WOMEN WHO SERVED THEREIN 1939 - 1945 LEST WE FORGET,Spotted Gum,Corymbia maculata,1998-07-09,-37.83211188501216,144.9730652646708,"-37.83211188501216, 144.9730652646708"
1499102,AUSTRALIA,BLUE GUM REPRESENTING AUSTRALIA 26.1.1956,Tasmainian Blue Gum,Eucalyptus globulus,1998-07-09,-37.82845799270287,144.97334341084036,"-37.82845799270287, 144.97334341084036"
1498993,No 86 ATTACK WING RAAF,No 86 ATTACK WING RAAF IN MEMORY OF ALL WHO SERVED IN THE UNITS OF THIS WING IN THE PACIFIC CAMPAIGNS DURING WW2 MOROTAI - PHILLIPINES - LABUAN - BORNEO - JAPAN LEST WE FORGET,Cyprus Plane,Platanus orientalis Digitata,1998-07-09,-37.83171771275533,144.97357314779143,"-37.83171771275533, 144.97357314779143"
1499045,NEW ZEALAND SHIPS OF THE FAR EAST STRATEGIC RESERVE,HER MAJESTY'S NEW ZEALAND SHIPS OF THE FAR EAST STRATEGIC RESERVE 1955 - 1971,Stone Pine,Pinus pinea,2010-08-30,-37.83141323463639,144.9723395986132,"-37.83141323463639, 144.9723395986132"
1499145,4TH/19TH PRINCE OF WALES'S LIGHT HORSE REGIMENT,ICH DIEN  DEDICATED TO THE MEMBERS OF 4TH/19TH PRINCE OF WALES'S LIGHT HORSE REGIMENT SOUTH VIETNAM 1965-1966 FIRST AUSTRALIAN ARMOURED UNIT DEPLOYED TO THE CONFLICT. AWARDED UNITED STATES ARMY MERITORIOUS ARCHIEVEMENT IN THE PERFORMANCE OF OUTSTANDI SERVICE,Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.827752575077355,144.9720572685506,"-37.827752575077355, 144.9720572685506"
1499080,ANZACS,THIS KAURI TREE IS DEDICATED TO THOSE AUSTRALIANS AND NEW ZEALANDERS (ANZACS) WHO HAVE SERVED TOGETHER IN WAR AND PEACEKEEPING Provided by Government of New Zealand,Kauri New Zealand,Agathis australis,2014-10-03,-37.82924084108965,144.97346367178002,"-37.82924084108965, 144.97346367178002"
1499016,"BOER WAR State Colonial contingents, Australian Commonwealth Horse","BOER WAR SOUTH AFRICA 1899 - 1902 To the memory of the Australian men and women who served in our State colonial contigents, the Australian Commonwealtk Horse, and other forces of the Bristish Empire Lest We Forget",Jacaranda,Jacaranda mimosifolia,2010-08-30,-37.832358127442454,144.97269084211308,"-37.832358127442454, 144.97269084211308"
1734467,33 - 38 SQUADRONS,33 - 34 - 35 - 36 - 37 - 38 SQUADRONS DEDICATED TO ALL WHO SERVED WITH THE RAAF TRANSPORT SQUADRONS SOUTH WEST PACIFIC AREA,Moreton Bay Fig,Ficus macrophylla,1998-08-09,-37.83271178597667,144.9741955314763,"-37.83271178597667, 144.9741955314763"
1498992,AUSTRALIAN COMPONENT OF THE BRITISH COMMONWEALTH OCCUPATION FORCE MILITARY OCCUPATION OF JAPAN,AUSTRALIAN COMPONENT OF THE BRITISH COMMONWEALTH OCCUPATION FORCE MILITARY OCCUPATION OF JAPAN,London Plane,Platanus acerifolia,1998-07-09,-37.83152430986326,144.9733735802183,"-37.83152430986326, 144.9733735802183"
1499173,39 AUST. INFANTRY BATTALION,39 AUST. INFANTRY BATTALION,English Elm,Ulmus procera,1998-07-09,-37.82885439635063,144.97234238948485,"-37.82885439635063, 144.97234238948485"
1499022,AUSTRALIAN ARMY TRAINING TEAM VIETNAM,AUSTRALIAN ARMY TRAINING TEAM VIETNAM,Golden Poplar,Populus x canadensis,1998-07-09,-37.83124298440094,144.97247458302422,"-37.83124298440094, 144.97247458302422"
1498998,SPECIAL AIR SERVICE,"SPECIAL AIR SERVICE BRITAIN AUSTRALIA NEW ZEALAND RHODESIA FRANCE BELGIUM ""We are the pilgrims, master, we shall go always a little further, it may be beyond that last blue mountain capped with snow across that angry or that glimmering sea""",Golden Elm,Ulmus glabra Lutescens,2000-01-02,-37.83192928709073,144.97350907055616,"-37.83192928709073, 144.97350907055616"
